peclet,sherwood,our peclet,our sherwood
0.00130880806008449,2.03723994498076,0.000654404030042247,1.01861997249038
0.00231351521868471,2.0481079548986,0.00115675760934236,1.0240539774493
0.00411998348074852,2.05300230986596,0.00205999174037426,1.02650115493298
0.00697165764675188,2.05471363741593,0.00348582882337594,1.02735681870797
0.0125056130892794,2.06268290743553,0.0062528065446397,1.03134145371776
0.0232711982031181,2.06167462250292,0.0116355991015591,1.03083731125146
0.0445885803872243,2.06076222159255,0.0222942901936122,1.03038111079628
0.0829422127825176,2.07803482102607,0.0414711063912588,1.03901741051304
0.154248067928556,2.10783176239686,0.077124033964278,1.05391588119843
0.286784708924576,2.15068722675969,0.143392354462288,1.07534361337984
0.616591355407612,2.23734621854983,0.308295677703806,1.11867310927491
1.25888683986077,2.35835876662131,0.629443419930387,1.17917938331065
2.72207351933475,2.54917150712712,1.36103675966737,1.27458575356356
5.7944076439229,2.82520836041605,2.89720382196145,1.41260418020802
10.2044028136461,3.10265834587446,5.10220140682303,1.55132917293723
17.7078829489701,3.41732646180184,8.85394147448507,1.70866323090092
30.045861173818,3.81399243918455,15.022930586909,1.90699621959227
50.9676738786374,4.28184925290898,25.4838369393187,2.14092462645449
78.6686019858101,4.74309322354845,39.334300992905,2.37154661177422
119.66371458672,5.25390113227539,59.8318572933601,2.62695056613769
190.024547938675,5.9326181469865,95.0122739693373,2.96630907349325
306.046060943658,6.77855809324141,153.023030471829,3.3892790466207
482.429961695519,7.66542684295819,241.214980847759,3.8327134214791
788.174008259168,8.82338146689058,394.087004129584,4.41169073344529
1306.31423862839,10.2164968998338,653.157119314193,5.10824844991692
2071.83709658324,11.8811216999878,1035.91854829162,5.94056084999392
3507.97780001708,13.9410471366524,1753.98890000854,6.97052356832621
4886.32859748858,15.5773149647426,2443.16429874429,7.78865748237128
6957.50975124497,17.3806229267705,3478.75487562248,8.69031146338524
9016.8794063873,18.994115798408,4508.43970319365,9.49705789920402
